time_seconds,amplitude_raw
0.00040625,1403
0.0004075,1269
0.00040875,1153
0.00041,1068
0.00041125,1026
0.0004125,1013
0.00041375,1026
0.000415,1017
0.00041625,949
0.0004175,810
0.00041875,615
0.00042,428
0.00042125,296
0.0004225,241
0.00042375,191
0.000425,225
0.00042625,201
0.0004275,201
0.00042875,263
0.00043,386
0.00043125,560
0.0004325,757
0.00043375,961
0.000435,1168
0.00043625,1366
0.0004375,1608
0.00043875,1854
0.00044,2071
0.00044125,2245
0.0004425,2362
0.00044375,2474
0.000445,2620
0.00044625,2923
0.0004475,3369
0.00044875,3853
0.00045,4243
0.00045125,4433
0.0004525,4427
0.00045375,4311
0.000455,4245
0.00045625,4327
0.0004575,4579
0.00045875,4941
0.00046,5249
0.00046125,5552
0.0004625,5747
0.00046375,5925
0.000465,6133
0.00046625,6355
0.0004675,6517
0.00046875,6577
0.00047,6577
0.00047125,6570
0.0004725,6597
0.00047375,6664
0.000475,6729
0.00047625,6683
0.0004775,6513
0.00047875,6293
0.00048,6049
0.00048125,5908
0.0004825,5831
0.00048375,5767
0.000485,5605
0.00048625,5226
0.0004875,4730
0.00048875,4275
0.00049,4008
0.00049125,3963
0.0004925,4085
0.00049375,4198
0.000495,4103
0.00049625,3856
0.0004975,3497
0.00049875,3173
0.0005,3018
0.00050125,3026
0.0005025,3123
0.00050375,3238
0.000505,3237
0.00050625,3133
0.0005075,2953
0.00050875,2721
0.00051,2398
0.00051125,1983
0.0005125,1532
0.00051375,1127
0.000515,890
0.00051625,939
0.0005175,1202
0.00051875,1537
0.00052,1763
0.00052125,1776
0.0005225,1565
0.00052375,1277
0.000525,1096
0.00052625,1147
0.0005275,1410
0.00052875,1806
0.00053,2193
0.00053125,2393
0.0005325,2484
0.00053375,2482
0.000535,2460
0.00053625,2472
0.0005375,2496
0.00053875,2507
0.00054,2537
0.00054125,2622
0.0005425,2837
0.00054375,3220
0.000545,3705
0.00054625,4196
0.0005475,4607
0.00054875,4851
0.00055,4977
0.00055125,5092
0.0005525,5305
0.00055375,5635
0.000555,6051
0.00055625,6472
0.0005575,6748
0.00055875,6878
0.00056,6881
0.00056125,6852
0.0005625,6850
0.00056375,6905
0.000565,7011
0.00056625,7066
0.0005675,7110
0.00056875,7097
0.00057,7053
0.00057125,6991
0.0005725,6940
0.00057375,6941
0.000575,6968
0.00057625,7030
0.0005775,7112
0.00057875,7206
0.00058,7230
0.00058125,7220
0.0005825,7183
0.00058375,7102
0.000585,6983
0.00058625,6793
0.0005875,6470
0.00058875,6058
0.00059,5595
0.00059125,5156
0.0005925,4808
0.00059375,4557
0.000595,4359
0.00059625,4136
0.0005975,3842
0.00059875,3463
0.0006,3107
0.00060125,2816
0.0006025,2654
0.00060375,2513
0.000605,2422
0.00060625,2322
0.0006075,2200
0.00060875,2048
0.00061,1893
0.00061125,1766
0.0006125,1676
0.00061375,1601
0.000615,1552
0.00061625,1543
0.0006175,1546
0.00061875,1562
0.00062,1578
0.00062125,1582
0.0006225,1605
0.00062375,1638
0.000625,1709
0.00062625,1823
0.0006275,1956
0.00062875,2096
0.00063,2188
0.00063125,2197
0.0006325,2140
0.00063375,2058
0.000635,1990
0.00063625,1956
0.0006375,1959
0.00063875,2008
0.00064,2190
0.00064125,2574
0.0006425,3122
0.00064375,3723
0.000645,4266
0.00064625,4600
0.0006475,4689
0.00064875,4636
0.00065,4614
0.00065125,4745
0.0006525,5054
0.00065375,5434
0.000655,5736
0.00065625,5896
0.0006575,5906
0.00065875,5963
0.00066,6144
0.00066125,6536
0.0006625,7013
0.00066375,7381
0.000665,7480
0.00066625,7262
0.0006675,6843
0.00066875,6496
0.00067,6414
0.00067125,6636
0.0006725,7053
0.00067375,7467
0.000675,7671
0.00067625,7598
0.0006775,7377
0.00067875,7170
0.00068,7090
0.00068125,7147
0.0006825,7277
0.00068375,7347
0.000685,7273
0.00068625,7002
0.0006875,6545
0.00068875,5975
0.00069,5389
0.00069125,4941
0.0006925,4692
0.00069375,4638
0.000695,4676
0.00069625,4670
0.0006975,4495
0.00069875,4136
0.0007,3667
0.00070125,3223
0.0007025,2874
0.00070375,2644
0.000705,2529
0.00070625,2465
0.0007075,2360
0.00070875,2193
0.00071,1965
0.00071125,1738
0.0007125,1544
0.00071375,1428
0.000715,1406
0.00071625,1451
0.0007175,1544
0.00071875,1685
0.00072,1859
0.00072125,2050
0.0007225,2203
0.00072375,2326
0.000725,2408
0.00072625,2469
0.0007275,2543
0.00072875,2604
0.00073,2706
0.00073125,2831
0.0007325,2836
0.00073375,2875
0.000735,2853
0.00073625,2816
0.0007375,2845
0.00073875,3017
0.00074,3380
0.00074125,3869
0.0007425,4393
0.00074375,4796
0.000745,5008
0.00074625,5048
0.0007475,5022
0.00074875,5143
0.00075,5325
0.00075125,5652
0.0007525,6035
0.00075375,6312
0.000755,6435
0.00075625,6434
0.0007575,6427
0.00075875,6489
0.00076,6667
0.00076125,6910
0.0007625,7121
0.00076375,7269
0.000765,7327
0.00076625,7331
0.0007675,7387
0.00076875,7440
0.00077,7501
0.00077125,7564
0.0007725,7602
0.00077375,7561
0.000775,7476
0.00077625,7349
0.0007775,7232
0.00077875,7118
0.00078,7024
0.00078125,6975
0.0007825,6934
0.00078375,6903
0.000785,6753
0.00078625,6504
0.0007875,6100
0.00078875,5597
0.00079,5106
0.00079125,4778
0.0007925,4688
0.00079375,4760
0.000795,4820
0.00079625,4724
0.0007975,4380
0.00079875,3890
0.0008,3467
0.00080125,3196
0.0008025,3073
0.00080375,3088
0.000805,3112
0.00080625,3047
0.0008075,2878
0.00080875,2657
0.00081,2489
0.00081125,2420
0.0008125,2430
0.00081375,2512
0.000815,2594
0.00081625,2627
0.0008175,2607
0.00081875,2573
0.00082,2483
0.00082125,2447
0.0008225,2437
0.00082375,2459
0.000825,2489
0.00082625,2474
0.0008275,2460
0.00082875,2439
0.00083,2431
0.00083125,2432
0.0008325,2431
0.00083375,2499
0.000835,2646
0.00083625,2980
0.0008375,3513
0.00083875,4106
0.00084,4600
0.00084125,4857
0.0008425,4891
0.00084375,4769
0.000845,4694
0.00084625,4786
0.0008475,5036
0.00084875,5381
0.00085,5686
0.00085125,5853
0.0008525,5908
0.00085375,5903
0.000855,5929
0.00085625,6055
0.0008575,6285
0.00085875,6565
0.00086,6828
0.00086125,7069
0.0008625,7272
0.00086375,7446
0.000865,7593
0.00086625,7726
0.0008675,7852
0.00086875,7972
0.00087,8039
0.00087125,8122
0.0008725,8213
0.00087375,8254
0.000875,8245
0.00087625,8146
0.0008775,7996
0.00087875,7850
0.00088,7769
0.00088125,7763
0.0008825,7805
0.00088375,7789
0.000885,7681
0.00088625,7478
0.0008875,7141
0.00088875,6684
0.00089,6147
0.00089125,5618
0.0008925,5088
0.00089375,4745
0.000895,4555
0.00089625,4446
0.0008975,4322
0.00089875,4101
0.0009,3754
0.00090125,3343
0.0009025,2979
0.00090375,2742
0.000905,2634
0.00090625,2594
0.0009075,2586
0.00090875,2556
0.00091,2485
0.00091125,2489
0.0009125,2482
0.00091375,2508
0.000915,2541
0.00091625,2557
0.0009175,2581
0.00091875,2643
0.00092,2712
0.00092125,2761
0.0009225,2758
0.00092375,2714
0.000925,2662
0.00092625,2650
0.0009275,2698
0.00092875,2803
